# Engage CRC32 hash -> bone path map
# Format: <hash_hex_8>	<bone_path>
# Generated from uRig prefabs (extracted from Engage) + 1 stray bone
6CE9DA84	c_trans
61411DA5	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt
ECE17DB4	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt
526ADD06	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt
98E1607C	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt
73DFD69C	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt
7F4DE5B9	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt
55BCD8DC	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt
F95F7F91	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/l_tailfingerA1_jnt
A0CCAFA0	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/l_tailfingerA1_jnt/l_tailfingerA2_jnt
AEA84E04	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/l_tailfingerA1_jnt/l_tailfingerA2_jnt/l_tailfingerA3_jnt
7FCB0D3F	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/l_tailfingerB1_jnt
13B56B5D	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/l_tailfingerB1_jnt/l_tailfingerB2_jnt
63A9C25F	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/l_tailfingerB1_jnt/l_tailfingerB2_jnt/l_tailfingerB3_jnt
CED13100	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/r_tailfingerA1_jnt
9D1A6E32	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/r_tailfingerA1_jnt/r_tailfingerA2_jnt
308842ED	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/r_tailfingerA1_jnt/r_tailfingerA2_jnt/r_tailfingerA3_jnt
484543AE	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/r_tailfingerB1_jnt
2E63AACF	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/r_tailfingerB1_jnt/r_tailfingerB2_jnt
FD89CEB6	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt/c_tail4_jnt/c_tail5_jnt/c_tail6_jnt/c_tail7_jnt/c_tail8_jnt/c_tail9_jnt/c_tailfinger_jnt/r_tailfingerB1_jnt/r_tailfingerB2_jnt/r_tailfingerB3_jnt
EFE4CF52	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt
667DD6FB	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt
20D4BB30	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt/l_leg3_jnt
9390BC09	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt/l_leg3_jnt/l_leg4_jnt
C40C7816	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt/l_leg3_jnt/l_leg4_jnt/l_leg5_jnt
BCB4D7E5	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt/l_leg3_jnt/l_leg4_jnt/l_leg5_jnt/l_leg6_jnt
2772AE79	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt/l_leg3_jnt/l_leg4_jnt/l_leg5_jnt/l_limbR_loc
AA225481	c_trans/c_hip_jnt/c_hip2_jnt/l_leg1_jnt/l_leg2_jnt/l_leg3_jnt/l_leg4_jnt/l_leg5_jnt/l_limbR_loc1
D6837E09	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt
C73179FC	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt
369A59B5	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt/r_leg3_jnt
33D2A9FA	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt/r_leg3_jnt/r_leg4_jnt
76E44E81	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt/r_leg3_jnt/r_leg4_jnt/r_leg5_jnt
052F823F	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt/r_leg3_jnt/r_leg4_jnt/r_leg5_jnt/r_leg6_jnt
41CD0EE6	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt/r_leg3_jnt/r_leg4_jnt/r_leg5_jnt/r_limbR_loc
CAF465F4	c_trans/c_hip_jnt/c_hip2_jnt/r_leg1_jnt/r_leg2_jnt/r_leg3_jnt/r_leg4_jnt/r_leg5_jnt/r_limbR_loc1
68BA5790	c_trans/c_hip_jnt/c_hip_loc
30C854F3	c_trans/c_hip_jnt/c_mngsktA_jnt
C0ABEA09	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt
BC55618A	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_jnt
D3BC9FA1	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_jnt/c_sprsktA3_jnt
E6E0D42E	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_jnt/c_sprsktA3_jnt/c_sprsktA4_jnt
2B643221	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_jnt/c_sprsktA3_jnt/c_sprsktA4_jnt/c_sktA5_jnt
561E0563	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_jnt/c_sprsktA3_jnt/c_sprsktA4_piv
63424EEC	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_jnt/c_sprsktA3_piv
0CABB0C7	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_jnt/c_sprsktA2_piv
70553B44	c_trans/c_hip_jnt/c_mngsktA_jnt/c_sprsktA1_piv
77682E23	c_trans/c_hip_jnt/c_mngsktB_jnt
E996D56D	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt
CA0CAFDE	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt
